_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS,_name_norm_old,cod.__Fantacalcio,ruolo__Fantacalcio,nome,voto__Fantacalcio,gf__Fantacalcio,gs__Fantacalcio,rp__Fantacalcio,rs__Fantacalcio,rf__Fantacalcio,au__Fantacalcio,amm__Fantacalcio,esp__Fantacalcio,ass__Fantacalcio,cod.__Statistico,ruolo__Statistico,voto__Statistico,gf__Statistico,gs__Statistico,rp__Statistico,rs__Statistico,rf__Statistico,au__Statistico,amm__Statistico,esp__Statistico,ass__Statistico,cod.__Italia,ruolo__Italia,voto__Italia,gf__Italia,gs__Italia,rp__Italia,rs__Italia,rf__Italia,au__Italia,amm__Italia,esp__Italia,ass__Italia,matched_norm,match_score
206.0,JK,206.0,206,ANGORI S.,D,D,PISA,,7.04,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.75,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.5,6.0,angori s,7143.0,D,Angori,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7143.0,D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7143.0,D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angori s,85.0
209.0,IÄ,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.0,JP,213.0,213,BASCHIROTTO F.,D,D,CREMONESE,,8.04,1.0,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,11.0,baschirotto f,5835.0,D,Baschirotto,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5835.0,D,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5835.0,D,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baschirotto f,91.0
214.0,IÄ,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.0,JH,215.0,215,BELLANOVA R.,D,D,ATALANTA,,5.54,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.75,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.0,6.0,bellanova r,4887.0,D,Bellanova,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4887.0,D,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4887.0,D,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bellanova r,90.0
216.0,IÄ,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.0,,,218,BIANCHETTI M.,D,D,CREMONESE,,6.53,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,6.75,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,7.0,7.0,bianchetti m,612.0,D,Bianchetti,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,D,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,D,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bianchetti m,90.0
219.0,MT,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.0,PP,223.0,223,BREMER G.,D,D,JUVENTUS,,7.04,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,7.0,bremer g,2788.0,D,Bremer,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2788.0,D,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2788.0,D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bremer g,85.0
224.0,MT,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
